Year,AC_No,AC_Name,AC_Type,Cand,Sex,Party,Turnout
1998,53,KUNDLA,GEN,VIRANI_KALUBHAI_VIRJIBHAI,M,BJP,49.61
1998,33,KUTIYANA,GEN,ODEDARA_KARSHAN_DULA,M,BJP,42.05
1998,44,LATHI,GEN,BHADANI_BECHARBHAI_VIRJIBHAI,M,BJP,62.28
1998,9,LIMBDI,GEN,RANA_KIRITSINH_JEETUBHA,M,BJP,60.54
1998,113,LIMDI,ST,KISHORI_BACHUBHAI_NATHABHAI,M,INC,41.23
1998,115,LIMKHEDA,ST,PASAYA_NAGARSINH_GULABSINH,M,INC,44.36
1998,122,LUNAVADA,GEN,SOLANKI_SURPALSINH_HIMATSINH,M,INC,65.17
1998,130,MAHUDHA,GEN,THAKOR_NATVARSINH_FULSINH,M,INC,55.89
1998,54,MAHUVA,GEN,DR.KANUBHAI_KALASARIA,M,BJP,52.45
1998,165,MAHUVA-I,ST,PATEL_DEVDATTKUMAR_KIKABHAI,M,BJP,64.07
1998,41,MALIYA,GEN,SOLANKI_DEVANANDBHAI_SAMATBHAI,M,BJP,59.27
1998,35,MANAVADAR,GEN,SUREJA_RATILAL_GORDHANBHAI,M,BJP,62.38
1998,62,MANDAL,GEN,PATEL_ANANDIBEN_MAFATBHAI,F,BJP,62.79
1998,2,MANDVI,GEN,MEHTA_SURESHCHANDRA_RUPSHANKAR,M,BJP,60.42
1998,34,MANGROL,GEN,KARGATIA_BHAGVANJI_LAKHABHAI,M,BJP,52.98
1998,162,MANGROL-I,ST,CHAUDHARI_RAMANBHAI_KANSARABHAI,M,JD,55.74
1998,77,MANINAGAR,GEN,KAMLESH_PATEL,M,BJP,41.57
1998,84,MANSA,GEN,PATEL_MANGALDAS_MADHAVLAL,M,BJP,74.87
1998,137,MATAR,GEN,CHAVDA_DHIRUBHAI_AMARSING,M,INC,66.09
1998,110,MEGHRAJ,GEN,PATEL_SHIVABHAI_D.,M,INC,63.76
1998,129,MEHMEDABAD,GEN,CHAUHAN_SUNDARSINH_BHALABHAI,M,BJP,50.81
1998,83,MEHSANA,GEN,KHODABHAI_N.PATEL,M,BJP,62.83
1998,108,MODASA,GEN,PARMAR_DILIPSINH_VAKHATSINH,M,BJP,67.56
1998,13,MORVI,GEN,AMRUTIYA_KANTILAL_SHIVABHAI,M,BJP,57.07
1998,180,MOTA_PONDHA,ST,PATEL_BARAJULBHAI_NAVALABHAI,M,INC,54.14
1998,4,MUNDRA,SC,SODHAM_PARBAT_MAYABHAI,M,BJP,54.1
1998,131,NADIAD,GEN,DESAI_PANKAJKUMAR_VINUBHAI,M,BJP,53.29
1998,78,NARODA,GEN,KODNANI_MAYABEN_SURENDRABHAI,F,BJP,47.15
1998,143,NASVADI,ST,BHIL_DHIRUBHAI_CHUNILAL,M,INC,53.57
1998,174,NAVSARI,ST,PATEL_MANGUBHAI_CHHAGANBHAI,M,BJP,58.15
1998,161,NIJHAR,ST,VASAVA_PARESHBHAI_GOVINDBHAI,M,INC,57.31
1998,168,OLPAD,GEN,PATEL_DHANSUKHBHAI_NATHUBHAI,M,BJP,49.3
1998,152,PADRA,GEN,JEETSINH_SOMSINH_PARMAR,M,AIRJP,69.46
1998,100,PALANPUR,GEN,TRIVEDI_REKHABEN_HITENDRABHAI,F,BJP,60.19
1998,51,PALITANA,GEN,GOTI_KURJIBHAI_RAMJIBHAI,M,BJP,59.21
1998,181,PARDI,ST,CHANDRAVADAN_MAKANJI_PATEL,M,BJP,55.01
1998,91,PATAN,GEN,PATEL_MOHANBHAI_HIRABHAI,M,BJP,55.99
1998,135,PETLAD,GEN,PATEL_NIRANJAN_PARSOTTAMDAS,M,INC,63.26
1998,32,PORBANDAR,GEN,BOKHIRIYA_BABUBHAI_BHIMABHAI,M,BJP,53.47
1998,107,PRANTIJ,GEN,RATHOD_DIPSINH_SHANKARSINH,M,BJP,63.21
1998,94,RADHANPUR,GEN,PATEL_SHANKARBHAI_LAGDHIRBHAI,M,BJP,57.66
1998,117,RAJGADH,GEN,VAKIL_PARMAR_LAXMANSINH_MOTISINH,M,INC,51.24
1998,19,RAJKOT_RURAL,SC,BABARIYA_MADHUBHAI_HAMIRBHAI,M,BJP,44.32
1998,17,RAJKOT-I,GEN,RAMESH_DHANJIBHAI_RUPAPARA,M,BJP,46.27
1998,18,RAJKOT-II,GEN,VALA_VAJUBHAI_ROODABHAI,M,BJP,45.28
1998,160,RAJPIPLA,ST,VASAVA_PREMSINH_DEVJIBHAI,M,INC,62.65
1998,48,RAJULA,GEN,SOLANKI_HIRABHAI_ODHAVAJIBHAI,M,BJP,59.3
1998,73,RAKHIAL,GEN,JHADFIYA_GORDHANBHAI_P.,M,BJP,52.88
1998,123,RANDHIKPUR,ST,BHABHOR_JASWANTSINH_SUMANBHAI,M,BJP,59.53
1998,149,RAOPURA,GEN,YOGESH_PATEL,M,BJP,50.49
1998,6,RAPAR,GEN,DHIRUBHAI_SWARUPCHAND_SHAH,M,BJP,51.37
1998,67,SABARMATI,GEN,OZA_YATINBHAI_NARENDRAKUMAR,M,BJP,52.94
1998,93,SAMI,GEN,THAKOR_DILIPKUMAR_VIRAJIBHAI,M,BJP,64.78
1998,144,SANKHEDA,ST,BABARBHAI_AMBALAL_TADVI,M,INC,56.31
1998,111,SANTRAMPUR,GEN,DR.BHAMAT_MANSINH_VALLABHBHAI,M,INC,59.11
1998,64,SARKHEJ,GEN,AMIT_SHAH,M,BJP,45.46
1998,134,SARSA,GEN,PARMAR_GOVINDBHAI_RAIJIBHAI,M,INC,65.79
1998,146,SAVLI,GEN,CHAUHAN_KHUMANSINH_RAYSINH,M,INC,64.65
1998,148,SAYAJIGANJ,GEN,JASPALSINGH,M,BJP,49.19
1998,74,SHAHER_KOTDA,SC,MANUBHAI_PARMAR,M,INC,50.49
1998,70,SHAHPUR,GEN,KAUSHIKKUMAR_JAMNADAS_PATEL,M,BJP,55.88
1998,121,SHEHRA,GEN,BHARWAD_JETHABHAI_GHELABHAI,M,SP,59.37
1998,89,SIDHPUR,GEN,JAY_NARAYAN_VYAS,M,BJP,65.94
1998,52,SIHOR,GEN,KESHUBHAI_HIRJIBHAI_NAKARANI,M,BJP,62.15
1998,136,SOJITRA,SC,MAKWANA_BHARATKUMAR_YOGENDRABHAI,M,INC,58.02
1998,38,SOMNATH,GEN,GOHEL_CHUNILAL_KANJI,M,BJP,61.1
1998,163,SONGADH,ST,VASAVA_NAGARBHAI_DIVELIYABHAI,M,INC,54.46
1998,170,SURAT_CITY_EAST,GEN,KHASI_GULABDAS_NAGINDAS,M,BJP,48.51
1998,169,SURAT__CITY_NORTH,GEN,GAJERA_DHIRUBHAI_HARIBHAI,M,BJP,44.73
1998,171,SURAT_CITY_WEST,GEN,CHAPATWALA_HEMANTBHAI_CHAMPAKLAL,M,BJP,42.24
1998,55,TALAJA,GEN,GOHIL_SHEEVABHAI_JERAMBHAI,M,BJP,48.19
1998,37,TALALA,GEN,BARAD_JASHUBHAI_DHANABHAI,M,INC,70.13
1998,14,TANKARA,GEN,KUNDARIYA_MOHANBHAI_KALYANJIBHAI,M,BJP,63.41
1998,126,THASRA,GEN,PARMAR_RAMSINH_PRABHATBHAI,M,INC,61.78
1998,182,UMBERGAON,ST,PATKAR_RAMANLAL_NANUBHAI,M,BJP,54.86
1998,127,UMRETH,GEN,SUBHASH_S._SHELAT,M,INC,62.18
1998,39,UNA,GEN,VANSH_PUNJABHAI_BHIMABHAI,M,INC,56.52
1998,88,UNJHA,GEN,PATEL_NARAYANBHAI_LALLUDAS,M,BJP,65.53
1998,23,UPLETA,GEN,MAKADIA_PRAVINBHAI_MOHAN,M,BJP,53.43
1998,101,VADGAM,SC,DOLATBHAI_PARMAR,M,INC,62.68
1998,90,VAGDOD,GEN,DESAI_RANCHHOD_MAHIJIBHAI,M,BJP,60.74
1998,150,VAGHODIA,GEN,SHRIVASTAVA_MADHUBHAI_BABUBHAI,M,BJP,60.5
1998,155,VAGRA,GEN,PATEL_IQBAL_IBRAHIM,M,INC,67.64
1998,95,VAV,GEN,RAJPUT_HEMAJI_DARAGHAJI,M,INC,75.56
1998,85,VIJAPUR,GEN,RAVAL_NARESHKUMAR_GANGARAM,M,INC,71.28
1998,63,VIRAMGAM,GEN,PREMJIBHAI_VADLANI,M,INC,65.61
1998,40,VISAVADAR,GEN,PATEL_KESHUBHAI_SAVDAS,M,BJP,56.54
1998,86,VISNAGAR,GEN,PATEL_PRAHALADBHAI_MOHANLAL,M,BJP,73.79
1998,164,VYARA,ST,GAMIT_PRATAPBHAI_BABUBHAI,M,INC,60.32
1998,8,WADHWAN,GEN,KELA_DHANRAJBHAI_GOVINDBHAI,M,BJP,52.86
1998,15,WANKANER,GEN,KHURSHID_HAIDAR_ABDUL_MUTTLIB_PIRZADA,M,INC,64.82
2002,1,ABDASA,GEN,JADEJA_NARENDRASINH_MADHAVSINHAJ,M,BJP,71.88
2002,45,AMRELI,GEN,DHANANI_PARESHBHAI_DHIRAJLAL,M,INC,61.02
2002,133,ANAND,GEN,PATEL_DILIPBHAI_MANIBHAI,M,BJP,65.03
2002,5,ANJAR,GEN,AACHARYA_NIMABEN_BHAVESH,F,INC,52.79
2002,157,ANKLESHWAR,GEN,PATEL_ISHWARSINH_THAKORBHAI,M,BJP,69.96
2002,72,ASARWA,GEN,JADEJA_PRADIPSINH_BHAGVATSINH,M,BJP,53.6
2002,43,BABRA,GEN,UNDHAD_BAVKUBHAI_NATHABHAI,M,BJP,68.6
2002,124,BALASINOR,GEN,RAJESH_PATHAK_(PAPPU_PATHAK),M,BJP,70.6
